Color A,Color B,Color C,Color D
#B68D40,#F4EBD0,#122620,#D6AD60
#D3B1C2,#C197D2,#211522,#613659
#0A7029,#FEDE00,#C8DF52,#DBE8D8
#90ADC6,#E9EAEC,#FAD02C,#333652
#FD7F20,#FC2E20,#FDB750,#010100
#F7D6C0,#F4B9B8,#96AD90,#3A4A3D
#F6A21E,#E55B13,#104210,#7A871E
#778A35,#D1E2C4,#EBEBE8,#31352E
#005437,#DEBAD6,#340744,#741AAC
#001F3D,#045174,#D89C60,#E87A00
#0E050F,#170B3B,#341948,#9388A2
#F3ECDA,#C4AC95,#94553D,#FFCBA4
#DBA40E,#4B5A20,#787D12,#7E6E13
#D01110,#0A0A00,#A8BBB0,#EBE8E0
#BDC6D9,#52688F,#E3E7F1,#7391C8
#140005,#464033,#7E7C73,#BBC4C2
#F4F7F0,#BFD2D0,#368980,#62CCC0
#970C10,#BFCAD0,#474440,#738580
#D9C1BB,#9AB19A,#52584D,#090A0E
#FC4DB0,#F9E830,#221530,#F52870
#5E376D,#F7E951,#D4BBDD,#F6E6E8
#252827,#FFFEE6,#291211,#F8CF2C
#E9DAC4,#39221F,#EF813E,#5E6826
#FAD02C,#E12A2A,#469A49,#192A29
#2B5615,#F8CF2C,#DB55D4,#9B948A
